province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thủ đô Hà Nội,Phường Khương Đình,Hà Nội,Khương Đình,Phường,1,21.0001,105.698,47.0,20.991,105.815,3.1
Thủ đô Hà Nội,Phường Thanh Liệt,Hà Nội,Thanh Liệt,Phường,1,21.0001,105.698,94.0,20.9645,105.809,6.44
Thủ đô Hà Nội,Phường Yên Sở,Hà Nội,Yên Sở,Phường,1,21.0001,105.698,126.0,20.9567,105.857,5.61
Thủ đô Hà Nội,Xã Thanh Trì,Hà Nội,Thanh Trì,Xã,1,21.0001,105.698,96.0,20.9388,105.859,10.15
Thủ đô Hà Nội,Xã Sóc Sơn,Hà Nội,Sóc Sơn,Xã,1,21.0001,105.698,84.0,21.2462,105.85,68.24
Thủ đô Hà Nội,Xã Trung Giã,Hà Nội,Trung Giã,Xã,1,21.0001,105.698,106.0,21.3318,105.831,77.52
Thủ đô Hà Nội,Xã Kim Anh,Hà Nội,Kim Anh,Xã,1,21.0001,105.698,50.0,21.2765,105.763,52.8
Thủ đô Hà Nội,Xã Đa Phúc,Hà Nội,Đa Phúc,Xã,1,21.0001,105.698,16.0,21.2506,105.901,55.32
Thủ đô Hà Nội,Xã Nội Bài,Hà Nội,Nội Bài,Xã,1,21.0001,105.698,63.0,21.2303,105.785,51.64
Thủ đô Hà Nội,Xã Đông Anh,Hà Nội,Đông Anh,Xã,1,21.0001,105.698,24.0,21.1101,105.872,48.68
Thủ đô Hà Nội,Xã Thư Lâm,Hà Nội,Thư Lâm,Xã,1,21.0001,105.698,99.0,21.1648,105.888,43.84
Thủ đô Hà Nội,Xã Phúc Thịnh,Hà Nội,Phúc Thịnh,Xã,1,21.0001,105.698,76.0,21.1623,105.815,42.63
Thủ đô Hà Nội,Xã Vĩnh Thanh,Hà Nội,Vĩnh Thanh,Xã,1,21.0001,105.698,117.0,21.1079,105.818,22.52
Thủ đô Hà Nội,Xã Thiên Lộc,Hà Nội,Thiên Lộc,Xã,1,21.0001,105.698,98.0,21.1204,105.771,27.96
Thủ đô Hà Nội,Xã Mê Linh,Hà Nội,Mê Linh,Xã,1,21.0001,105.698,56.0,21.151,105.733,34.97
Thủ đô Hà Nội,Xã Phù Đổng,Hà Nội,Phù Đổng,Xã,1,21.0001,105.698,68.0,21.0621,105.949,41.62
Thủ đô Hà Nội,Xã Thuận An,Hà Nội,Thuận An,Xã,1,21.0001,105.698,100.0,21.0303,105.984,29.67
Thủ đô Hà Nội,Phường Xuân Phương,Hà Nội,Xuân Phương,Phường,1,21.0001,105.698,121.0,21.0296,105.745,10.81
Thủ đô Hà Nội,Phường Tây Mỗ,Hà Nội,Tây Mỗ,Phường,1,21.0001,105.698,90.0,21.0009,105.747,5.56
Thủ đô Hà Nội,Phường Dương Nội,Hà Nội,Dương Nội,Phường,1,21.0001,105.698,28.0,20.975,105.749,7.9
Thủ đô Hà Nội,Phường Hà Đông,Hà Nội,Hà Đông,Phường,1,21.0001,105.698,32.0,20.9734,105.778,9.0
Thủ đô Hà Nội,Xã Đại Thanh,Hà Nội,Đại Thanh,Xã,1,21.0001,105.698,18.0,20.937,105.814,18.92
Thủ đô Hà Nội,Phường Phú Lương,Hà Nội,Phú Lương,Phường,1,21.0001,105.698,69.0,20.9392,105.767,9.4
Thủ đô Hà Nội,Xã Nam Phù,Hà Nội,Nam Phù,Xã,1,21.0001,105.698,59.0,20.9197,105.884,13.74
Thủ đô Hà Nội,Xã Ngọc Hồi,Hà Nội,Ngọc Hồi,Xã,1,21.0001,105.698,62.0,20.9123,105.837,13.35
Thủ đô Hà Nội,Xã Thường Tín,Hà Nội,Thường Tín,Xã,1,21.0001,105.698,103.0,20.8769,105.841,28.29
Thủ đô Hà Nội,Xã Hồng Vân,Hà Nội,Hồng Vân,Xã,1,21.0001,105.698,44.0,20.8797,105.888,24.53
Thủ đô Hà Nội,Phường Thượng Cát,Hà Nội,Thượng Cát,Phường,1,21.0001,105.698,101.0,21.0866,105.75,14.77
Thủ đô Hà Nội,Phường Đông Ngạc,Hà Nội,Đông Ngạc,Phường,1,21.0001,105.698,26.0,21.075,105.776,8.85
Thủ đô Hà Nội,Xã Ô Diên,Hà Nội,Ô Diên,Xã,1,21.0001,105.698,65.0,21.1095,105.704,32.06
Thủ đô Hà Nội,Xã Hoài Đức,Hà Nội,Hoài Đức,Xã,1,21.0001,105.698,38.0,21.062,105.705,16.73
Thủ đô Hà Nội,Phường Tây Tựu,Hà Nội,Tây Tựu,Phường,1,21.0001,105.698,92.0,21.0642,105.739,7.54
Thủ đô Hà Nội,Xã Quang Minh,Hà Nội,Quang Minh,Xã,1,21.0001,105.698,81.0,21.1927,105.751,32.17
Thủ đô Hà Nội,Xã Tiến Thắng,Hà Nội,Tiến Thắng,Xã,1,21.0001,105.698,104.0,21.203,105.692,36.34
Thủ đô Hà Nội,Xã Yên Lãng,Hà Nội,Yên Lãng,Xã,1,21.0001,105.698,124.0,21.1721,105.662,44.81
Thủ đô Hà Nội,Xã Liên Minh,Hà Nội,Liên Minh,Xã,1,21.0001,105.698,53.0,21.1277,105.646,23.57
Thủ đô Hà Nội,Phường Kiến Hưng,Hà Nội,Kiến Hưng,Phường,1,21.0001,105.698,48.0,20.9549,105.78,6.65
Thủ đô Hà Nội,Phường Yên Nghĩa,Hà Nội,Yên Nghĩa,Phường,1,21.0001,105.698,125.0,20.9391,105.736,13.18
Thủ đô Hà Nội,Xã Bình Minh,Hà Nội,Bình Minh,Xã,1,21.0001,105.698,8.0,20.904,105.762,29.86
Thủ đô Hà Nội,Xã An Khánh,Hà Nội,An Khánh,Xã,1,21.0001,105.698,2.0,20.9876,105.708,28.69
