province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thành phố Hà Nội,Phường Yên Sở,Hà Nội,Yên Sở,Phường,1,21.0001,105.698,340,20.9567,105.857,5.61
Thành phố Hà Nội,Xã Thanh Trì,Hà Nội,Thanh Trì,Xã,1,21.0001,105.698,640,20.9388,105.859,10.15
Thành phố Hà Nội,Xã Sóc Sơn,Hà Nội,Sóc Sơn,Xã,1,21.0001,105.698,376,21.2462,105.85,68.24
Thành phố Hà Nội,Xã Trung Giã,Hà Nội,Trung Giã,Xã,1,21.0001,105.698,385,21.3318,105.831,77.52
Thành phố Hà Nội,Xã Kim Anh,Hà Nội,Kim Anh,Xã,1,21.0001,105.698,382,21.2765,105.763,52.8
Thành phố Hà Nội,Xã Đa Phúc,Hà Nội,Đa Phúc,Xã,1,21.0001,105.698,430,21.2506,105.901,55.32
Thành phố Hà Nội,Xã Nội Bài,Hà Nội,Nội Bài,Xã,1,21.0001,105.698,433,21.2303,105.785,51.64
Thành phố Hà Nội,Xã Đông Anh,Hà Nội,Đông Anh,Xã,1,21.0001,105.698,454,21.1101,105.872,48.68
Thành phố Hà Nội,Xã Thư Lâm,Hà Nội,Thư Lâm,Xã,1,21.0001,105.698,475,21.1648,105.888,43.84
Thành phố Hà Nội,Xã Phúc Thịnh,Hà Nội,Phúc Thịnh,Xã,1,21.0001,105.698,466,21.1623,105.815,42.63
Thành phố Hà Nội,Xã Vĩnh Thanh,Hà Nội,Vĩnh Thanh,Xã,1,21.0001,105.698,508,21.1079,105.818,22.52
Thành phố Hà Nội,Xã Thiên Lộc,Hà Nội,Thiên Lộc,Xã,1,21.0001,105.698,493,21.1204,105.771,27.96
Thành phố Hà Nội,Xã Mê Linh,Hà Nội,Mê Linh,Xã,1,21.0001,105.698,9022,21.151,105.733,34.97
Thành phố Hà Nội,Xã Phù Đổng,Hà Nội,Phù Đổng,Xã,1,21.0001,105.698,541,21.0621,105.949,41.62
Thành phố Hà Nội,Xã Thuận An,Hà Nội,Thuận An,Xã,1,21.0001,105.698,562,21.0303,105.984,29.67
Thành phố Hà Nội,Phường Xuân Phương,Hà Nội,Xuân Phương,Phường,1,21.0001,105.698,622,21.0296,105.745,10.81
Thành phố Hà Nội,Phường Tây Mỗ,Hà Nội,Tây Mỗ,Phường,1,21.0001,105.698,634,21.0009,105.747,5.56
Thành phố Hà Nội,Phường Dương Nội,Hà Nội,Dương Nội,Phường,1,21.0001,105.698,9886,20.975,105.749,7.9
Thành phố Hà Nội,Phường Hà Đông,Hà Nội,Hà Đông,Phường,1,21.0001,105.698,9556,20.9734,105.778,9.0
