address,wardLat,wardLon,wardBounds,wardFormattedAddress
"Xã Minh Tân, Huyện Dầu Tiếng, Tỉnh Bình Dương",11.381146,106.475926,"11.32252,106.433659 – 11.441666,106.519146","Minh Tân, Dầu Tiếng, Bình Dương, Vietnam"
"Xã Minh Thạnh, Huyện Dầu Tiếng, Tỉnh Bình Dương",11.422333,106.523054,"11.371497,106.481037 – 11.480529,106.573734","Minh Thạnh, Dầu Tiếng District, Binh Duong, Vietnam"
"Xã Thanh Tân, Huyện Như Thanh, Tỉnh Thanh Hóa",19.444957,105.582612,"19.370426,105.513446 – 19.519367,105.623626","Thanh Tân, Như Thanh, Thanh Hóa, Vietnam"
"Xã Thanh Hải, Huyện Thanh Hà, Tỉnh Hải Dương",20.893975,106.396422,"20.876779,106.378491 – 20.910571,106.417754","Thanh Hải, Thanh Hà District, Hai Duong, Vietnam"
"Thị trấn Lai Uyên, Huyện Bàu Bàng, Tỉnh Bình Dương",11.317778,106.632313,"11.209513,106.564207 – 11.344233,106.683769","Lai Uyên, Bến Cát, Binh Duong, Vietnam"
"Xã Thái Minh, Huyện Bình Giang, Tỉnh Hải Dương",20.861392,106.196325,"20.849114,106.182258 – 20.87726,106.220437","Thái Học, Bình Giang District, Hai Duong, Vietnam"
"Xã Thái Dương, Huyện Bình Giang, Tỉnh Hải Dương",20.843914,106.137511,"20.819105,106.124454 – 20.860135,106.158314","Thái Dương, An Khải, Hải Dương, Vietnam"
"Xã Thanh Tùng, Huyện Thanh Miện, Tỉnh Hải Dương",20.83654,106.213972,"20.821191,106.198912 – 20.848144,106.242299","Thanh Tùng, Thanh Miện, Hải Dương, Vietnam"
"Phường Đại Bản, Quận Hồng Bàng, Thành phố Hải Phòng",20.922787,106.573139,"20.912238,106.550684 – 20.951418,106.602272","Đại Bản, An Dương, Hai Phong, Vietnam"
"Xã Luận Khê, Huyện Thường Xuân, Tỉnh Thanh Hóa",19.789769,105.348246,"19.741577,105.303891 – 19.843615,105.382967","Luận Khê, Thường Xuân District, Thanh Hoa, Vietnam"
"Xã Đoàn Tùng, Huyện Thanh Miện, Tỉnh Hải Dương",20.824399,106.219855,"20.810721,106.198096 – 20.833383,106.234231","Xã Đoàn Tùng, Thanh Miện, Hải Dương, Vietnam"
"Thị trấn Thanh Miện, Huyện Thanh Miện, Tỉnh Hải Dương",20.787978,106.237505,"20.775576,106.217022 – 20.797282,106.260324","Thanh Miện, Thanh Miện District, Hai Duong, Vietnam"
