provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newWardShort,newProvinceCode,newProvinceLat,newProvinceLon,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,2,Quận,40.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,2,Quận,40.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,43.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,46.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,49.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,52.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,55.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,2,Quận,55.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,58.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,61.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,64.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,67.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,2,Quận,70.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,70.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thành phố Hà Nội,Phường Văn Miếu - Quốc Tử Giám,Văn Miếu - Quốc Tử Giám,01,21.0001,105.698,00226,Phường,21.0199,105.837,1.92
1,False,2,Quận,76.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,76.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,79.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,79.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,2,Quận,82.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,85.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,2,Quận,88.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài,Thành phố Hà Nội,Phường Cửa Nam,Cửa Nam,01,21.0001,105.698,00082,Phường,21.0226,105.851,1.68
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thành phố Hà Nội,Phường Phú Thượng,Phú Thượng,01,21.0001,105.698,00091,Phường,21.086,105.802,7.21
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,94.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Nhật Tân,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,3,Quận,94.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Nhật Tân,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,97.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Tứ Liên,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,3,Quận,97.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Tứ Liên,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,100.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Quảng An,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,3,Quận,100.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Quảng An,Thành phố Hà Nội,Phường Tây Hồ,Tây Hồ,01,21.0001,105.698,00103,Phường,21.058,105.82,10.72
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thành phố Hà Nội,Phường Nghĩa Đô,Nghĩa Đô,01,21.0001,105.698,00160,Phường,21.0451,105.794,4.34
1,False,3,Quận,103.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Thành phố Hà Nội,Phường Phú Thượng,Phú Thượng,01,21.0001,105.698,00091,Phường,21.086,105.802,7.21
